GATUNEK;NAZWA_ZRODLOWA;RANGA;POWOD;GBIF_KEY;PROPOZYCJA;DECYZJA
Aruncus sylvestris;Aruncus sylvestris;SPECIES;brak w tabeli dopasowań;;;
Asperula cynanchica;Asperula cynanchica;SPECIES;brak w tabeli dopasowań;;;
Asplenium ruta-muriria;Asplenium ruta-muriria;SPECIES;dopasowanie ALTERNATYWA;2650625;;
Aster;Aster s.l.;GENUS;dopasowanie ALTERNATYWA;11445018;;
Aster tradescantii;Aster tradescantii;SPECIES;brak w tabeli dopasowań;;;
Aster tripolium;Aster tripolium;SPECIES;brak w tabeli dopasowań;;;
Astragalus glycyphllos;Astragalus glycyphllos;SPECIES;dopasowanie ALTERNATYWA;5346998;;
Astragalus glycyphyllos;Astragalus glycyphyllos;SPECIES;dopasowanie ALTERNATYWA;5346998;;
Athyrium distentifolium;Athyrium distentifolium;SPECIES;brak w tabeli dopasowań;;;
Atriplex;Atriplex;GENUS;dopasowanie RODZAJ_OK;10651755;;
Atriplex nitens;Atriplex nitens;SPECIES;brak w tabeli dopasowań;;;
Atriplex prostrata subsp. prostrata;Atriplex prostrata ssp. prostrata;SUBSPECIES;brak w tabeli dopasowań;;;
Atropa bella-donna;Atropa bella-donna;SPECIES;brak w tabeli dopasowań;;;
Atropa belladonna;Atropa belladonna;SPECIES;dopasowanie ALTERNATYWA;3802655;;
Avenula pratensis;Avenula pratensis;SPECIES;brak w tabeli dopasowań;;;
Baeothryon alpinum;Baeothryon alpinum;SPECIES;brak w tabeli dopasowań;;;
Baeotryon alpinum;Baeotryon alpinum;SPECIES;dopasowanie ALTERNATYWA;2710560;;
Baeotryon caespitosum;Baeotryon caespitosum;SPECIES;dopasowanie ALTERNATYWA;2710592;;
Barbilophozia floerkei;Barbilophozia floerkei;SPECIES;brak w tabeli dopasowań;;;
Barbula;Barbula;GENUS;brak w tabeli dopasowań;;;
Bellis parennis;Bellis parennis;SPECIES;dopasowanie ALTERNATYWA;3117424;;
Bellis perennis;Bellis perennis;SPECIES;dopasowanie ALTERNATYWA;3117424;;
Betula pubescens subsp. carpatica;Betula pubescens ssp. carpatica;SUBSPECIES;brak w tabeli dopasowań;;;
Blechnum spicant;Blechnum spicant;SPECIES;brak w tabeli dopasowań;;;
Bolboschoenus maritimus;Bolboschoenus maritimus agg.;SPECIES;dopasowanie ALTERNATYWA;2718307;;
Bromus hordaceus;Bromus hordaceus;SPECIES;brak w tabeli dopasowań;;;
Bromus hordeaceus subsp. hordeaceus;Bromus hordeaceus ssp. hordeaceus;SUBSPECIES;brak w tabeli dopasowań;;;
Bryum bicolor;Bryum bicolor;SPECIES;brak w tabeli dopasowań;;;
Bryum pseudotriquetrum;Bryum pseudotriquetrum;SPECIES;brak w tabeli dopasowań;;;
Bryum schleicheri;Bryum schleicheri;SPECIES;brak w tabeli dopasowań;;;
Bryum subneodamense;Bryum subneodamense;SPECIES;brak w tabeli dopasowań;;;
Bucegia romanica;Bucegia romanica;SPECIES;brak w tabeli dopasowań;;;
Buckiella undulata;Buckiella undulata;SPECIES;brak w tabeli dopasowań;;;
Bulboschoenus maritimus;Bulboschoenus maritimus;SPECIES;dopasowanie ALTERNATYWA;2718307;;
Cakile maritima subsp. baltica;Cakile maritima ssp. baltica;SUBSPECIES;brak w tabeli dopasowań;;;
Calamagrostis;Calamagrostis;GENUS;dopasowanie RODZAJ_OK;2704858;;
Calamegrostis arundinacea;Calamegrostis arundinacea;SPECIES;dopasowanie ALTERNATYWA;4109084;;
Calamegrostis canescens;Calamegrostis canescens;SPECIES;dopasowanie ALTERNATYWA;4108861;;
Calamegrostis pseudiphragmites;Calamegrostis pseudiphragmites;SPECIES;dopasowanie ALTERNATYWA;4108217;;
Calamegrostis stricta;Calamegrostis stricta;SPECIES;dopasowanie ALTERNATYWA;2704899;;
Calamegrostis varia;Calamegrostis varia;SPECIES;dopasowanie ALTERNATYWA;4106903;;
Calamegrostis villosa;Calamegrostis villosa;SPECIES;dopasowanie ALTERNATYWA;4106690;;
Callitriche verna;Callitriche verna;SPECIES;brak w tabeli dopasowań;;;
Caltha laeta;Caltha laeta;SPECIES;brak w tabeli dopasowań;;;
Campanula platula;Campanula platula s.s.;SPECIES;dopasowanie ALTERNATYWA;5410564;;
Campanula polimorpha;Campanula polimorpha;SPECIES;dopasowanie ALTERNATYWA;5410033;;
Campanula raunculoides;Campanula raunculoides;SPECIES;dopasowanie ALTERNATYWA;7222081;;
Campanula scheichzeri;Campanula scheichzeri;SPECIES;dopasowanie ALTERNATYWA;5410226;;
Campanula scheuchzeri;Campanula scheuchzeri;SPECIES;dopasowanie ALTERNATYWA;5410226;;
Campanula serata;Campanula serata;SPECIES;dopasowanie ALTERNATYWA;5411208;;
Campylium polygamum;Campylium polygamum;SPECIES;brak w tabeli dopasowań;;;
Cardamine praternsis;Cardamine praternsis;SPECIES;dopasowanie ALTERNATYWA;7972010;;
Cardamine recedifolia;Cardamine recedifolia;SPECIES;dopasowanie ALTERNATYWA;3045872;;
Cardamine resedifolia;Cardamine resedifolia;SPECIES;dopasowanie ALTERNATYWA;3045872;;
Cardaminopsis arenosa subsp. borbasii;Cardaminopsis arenosa ssp. borbasii;SUBSPECIES;brak w tabeli dopasowań;;;
Cardaria draba;Cardaria draba;SPECIES;brak w tabeli dopasowań;;;
Carex bigelowii subsp. rigida;Carex bigelowii ssp. rigida;SUBSPECIES;brak w tabeli dopasowań;;;
Carex capiiaris;Carex capiiaris;SPECIES;dopasowanie ALTERNATYWA;2729936;;
Carex capillaris;Carex capillaris;SPECIES;dopasowanie ALTERNATYWA;2729936;;
Carex cuprina;Carex cuprina;SPECIES;brak w tabeli dopasowań;;;
Carex ericetrum;Carex ericetrum;SPECIES;dopasowanie ALTERNATYWA;2729081;;
Carex gracilis;Carex gracilis;SPECIES;brak w tabeli dopasowań;;;
Carex ligerica;Carex ligerica;SPECIES;brak w tabeli dopasowań;;;
Carex magellamica;Carex magellamica;SPECIES;dopasowanie ALTERNATYWA;2726416;;
Carex pallens;Carex pallens;SPECIES;dopasowanie ALTERNATYWA;2723686;;
Carex piarae;Carex piarae;SPECIES;dopasowanie ALTERNATYWA;2727765;;
Carex rigida;Carex rigida;SPECIES;dopasowanie ALTERNATYWA;2724481;;
Carex viridula;Carex viridula;SPECIES;brak w tabeli dopasowań;;;
Carlina longifolia;Carlina longifolia;SPECIES;dopasowanie ALTERNATYWA;9801519;;
Centaurea triumfetti;Centaurea triumfetti;SPECIES;dopasowanie ALTERNATYWA;3127633;;
Centaurea triumfettii;Centaurea triumfettii;SPECIES;dopasowanie ALTERNATYWA;3127633;;
Centaurium litorale;Centaurium litorale;SPECIES;dopasowanie ALTERNATYWA;5414469;;
Centaurium littorale;Centaurium littorale;SPECIES;dopasowanie ALTERNATYWA;5414469;;
Centunculus minimus;Centunculus minimus;SPECIES;brak w tabeli dopasowań;;;
Cephalozia connivens;Cephalozia connivens;SPECIES;brak w tabeli dopasowań;;;
Cephalozia macrostachya;Cephalozia macrostachya;SPECIES;brak w tabeli dopasowań;;;
Cerastium cerastodes;Cerastium cerastodes;SPECIES;dopasowanie ALTERNATYWA;5927687;;
Cerastium cerastoides;Cerastium cerastoides;SPECIES;brak w tabeli dopasowań;;;
Cerastium macrocarpum;Cerastium macrocarpum;SPECIES;dopasowanie ALTERNATYWA;8820721;;
Cerastium pumilum;Cerastium pumilum s.s;SPECIES;dopasowanie ALTERNATYWA;3808608;;
Cerasus avium;Cerasus avium;SPECIES;brak w tabeli dopasowań;;;
Cerasus fruticosa;Cerasus fruticosa;SPECIES;brak w tabeli dopasowań;;;
Chamaecyparis nootkatensis;Chamaecyparis nootkatensis;SPECIES;brak w tabeli dopasowań;;;
Chamaenerrion angustifolium;Chamaenerrion angustifolium;SPECIES;dopasowanie ALTERNATYWA;6428353;;
Chamaenerrion palustre;Chamaenerrion palustre;SPECIES;dopasowanie ALTERNATYWA;3189080;;
Chameadephne calyculata;Chameadephne calyculata;SPECIES;dopasowanie ALTERNATYWA;5333436;;
Chamomilla recutita;Chamomilla recutita;SPECIES;brak w tabeli dopasowań;;;
Chamomilla suaveolens;Chamomilla suaveolens;SPECIES;brak w tabeli dopasowań;;;
Chenopodium bonus-henricus;Chenopodium bonus-henricus;SPECIES;brak w tabeli dopasowań;;;
Chenopodium glaucum;Chenopodium glaucum;SPECIES;brak w tabeli dopasowań;;;
Chenopodium hybridum;Chenopodium hybridum;SPECIES;brak w tabeli dopasowań;;;
Chenopodium murale;Chenopodium murale;SPECIES;brak w tabeli dopasowań;;;
Chenopodium polyspermum;Chenopodium polyspermum;SPECIES;brak w tabeli dopasowań;;;
Chenopodium rubrum;Chenopodium rubrum;SPECIES;brak w tabeli dopasowań;;;
Chenopodium rurbrum;Chenopodium rurbrum;SPECIES;dopasowanie ALTERNATYWA;9708769;;
Chenopodium strictum;Chenopodium strictum;SPECIES;brak w tabeli dopasowań;;;
Chrysanthemum leucanthemum;Chrysanthemum leucanthemum;SPECIES;brak w tabeli dopasowań;;;
Cimicifuga europaea;Cimicifuga europaea;SPECIES;brak w tabeli dopasowań;;;
Cladonia alpestris;Cladonia alpestris;SPECIES;brak w tabeli dopasowań;;;
Cladonia cervicornis subsp. verticillata;Cladonia cervicornis ssp. verticillata;SUBSPECIES;brak w tabeli dopasowań;;;
